Id,Books,Book checkout,Book Returned,Days allowed to borrow,Customer ID,Book checkout_Formated,Book Returned_Formated,Days Borrowed,Status
1,Catcher in the Rye ,2023-02-20,2023-02-25,14,1,20/02/2023,25/02/2023,5,Returned On Time
2,Lord of the rings the two towers,2023-03-24,2023-03-21,14,2,24/03/2023,21/03/2023,-3,Returned On Time
3,Lord of the rings the return of the kind,2023-03-29,2023-03-25,14,3,29/03/2023,25/03/2023,-4,Returned On Time
4,The hobbit,2023-04-02,2023-03-25,14,4,02/04/2023,25/03/2023,-8,Returned On Time
5,Dune ,2023-04-02,2023-03-25,14,5,02/04/2023,25/03/2023,-8,Returned On Time
6,Little Women,2023-04-02,2023-05-01,14,1,02/04/2023,01/05/2023,29,Returned Late
7,IT,2063-04-10,2023-04-03,14,6,10/04/2063,03/04/2023,-14617,Returned On Time
8,Misery ,2023-04-15,2023-04-03,14,7,15/04/2023,03/04/2023,-12,Returned On Time
9,Catch 22,2023-04-15,2023-04-16,14,7,15/04/2023,16/04/2023,1,Returned On Time
10,Animal Farm ,2023-04-20,2023-04-24,14,2,20/04/2023,24/04/2023,4,Returned On Time
11,1984,2023-04-23,2023-04-27,14,8,23/04/2023,27/04/2023,4,Returned On Time
12,Little Women,2023-04-02,2023-05-01,14,1,02/04/2023,01/05/2023,29,Returned Late
13,East of Eden,2023-04-30,2023-05-05,14,2,30/04/2023,05/05/2023,5,Returned On Time
14,America Is in the Heart,2023-05-01,2023-05-07,14,3,01/05/2023,07/05/2023,6,Returned On Time
15,Wuthering Heights,2023-05-01,2023-05-10,14,9,01/05/2023,10/05/2023,9,Returned On Time
16,Dark Tales,2023-05-15,2023-06-01,14,2,15/05/2023,01/06/2023,17,Returned Late
18,Les Miserables,2023-06-03,2023-06-07,14,5,03/06/2023,07/06/2023,4,Returned On Time
19,Dracula,2023-06-10,2023-07-10,14,10,10/06/2023,10/07/2023,30,Returned Late
20,Frankenstein,2023-06-01,2023-06-20,14,2,01/06/2023,20/06/2023,19,Returned Late
